maker,name,price
マウスコンピューター mouse computer,PCMI117G306H22C [デスクトップパソコン Core i7-11700/メモリ 16GB/SSD 512GB/HDD 2TB/RTX 3060/Windows 11 Home/ブラック],"￥264,800"
アイ･オー･データ機器 I-O DATA,MPC-LVZ2 [小型デスクトップパソコン/Intel Pentium Silver N5030/メモリー4GB/eMMC 64GB/Windows 10 IoT Enterprise搭載],"￥62,480"
,【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM HX90-32/512-W10Pro（5900HX） 小型デスクトップパソコン/AMD Ryzen 9 5900HX/メモリ 32GB/ストレージ M.2 2280 SSD NVMe 512GB＋ウイルスバスター クラウド 3年版],"￥135,400"
アイ･オー･データ機器 I-O DATA,MPC-LVQ2 [Intel(R)Celeron(R)N4120/4GB/64GB(eMMC)/Windows 10 IoT Enterprise搭載 miniPC],"￥60,280"
レノボ･ジャパン Lenovo,F0G10046JP [IdeaCentre AIO360/23.8型/AMD Ryzen 7 5700U プロセッサー/メモリ8GB/SSD512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ブラック],"￥140,800"
ミニズフォーラム MINISFORUM,UM350-8/512-W10Pro（3550H） [小型デスクトップパソコン/Ryzen 5 3550H/メモリ 8GB/SSD 512GB/Windows 10 Pro/シルバー],"￥58,180"
マウスコンピューター mouse computer,PCMIDV117G306P22C [デスクトップパソコン Core i7-11700/メモリ 16GB/SSD 1TB/HDD 2TB/RTX 3060/Windows 11 Pro/ブラック],"￥289,800"
ASUS エイスース,G15DK-R75G1660TW11 [ゲーミングデスクトップパソコン ROG Strix GA15 （G15DK）/Ryzen 7 5800X/GTX 1660 Ti/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥199,800"
,【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM HM50-16/512-W10Pro（4500U） 小型デスクトップパソコン/CPU：AMD Ryzen 5 4500U/メモリ：16GB/ストレージ：M.2 SSD NVMe 512GB＋ウイルスバスター クラウド 3年版],"￥92,710"
ASUS エイスース,CHROMEBOX4-G5020UN [Chromebox デスクトップPC Core i5-10210U/メモリ 8GB/SSD 128GB/Wi-Fi 6/Vesa Mount/Chrome OS],"￥85,800"
